Event	ID	Name			Wwise Object Path	Notes
	596611306	Chomper_Death			\Default Work Unit\Ennemies\WU_Champer\Chomper_Death	
	776208005	ChomperSpitter_FT			\Default Work Unit\Ennemies\WU_General\ChomperSpitter_FT	
	1693949841	Chomper_Voice_Attack			\Default Work Unit\Ennemies\WU_Champer\Chomper_Voice_Attack	
	1698412932	Chomper_Voice_Spotted			\Default Work Unit\Ennemies\WU_Champer\Chomper_Voice_Spotted	
	2262099339	Chomper_Attack_Charge			\Default Work Unit\Ennemies\WU_Champer\Chomper_Attack_Charge	
	3617780276	ChomperSpitter_Voice_Idle			\Default Work Unit\Ennemies\WU_General\ChomperSpitter_Voice_Idle	
	3699900533	Chomper_Attack_Bite			\Default Work Unit\Ennemies\WU_Champer\Chomper_Attack_Bite	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28628135	FOL_ChomperSpitter_FT_Walk_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\FOL_Chomper_FT_Walk_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_General\General\ChomperSpitter_FT\ChomperSpitter_FT_Walk\FOL_ChomperSpitter_FT_Walk_01		22496
	35915224	SFX_Chomper_Voice_Death_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Death_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_Champer\Champer\Chomper_Voice\Chomper_Voice_Death\SFX_Chomper_Voice_Death_03		73696
	44099164	FOL_ChomperSpitter_FT_Walk_04	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\FOL_Chomper_FT_Walk_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_General\General\ChomperSpitter_FT\ChomperSpitter_FT_Walk\FOL_ChomperSpitter_FT_Walk_04		25696
	62712697	SFX_Chomper_Voice_Spotted_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Spotted_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_Champer\Champer\Chomper_Voice\Chomper_Voice_Spotted\SFX_Chomper_Voice_Spotted_03		40512
	117593921	SFX_Chomper_Voice_Attack_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Attack_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_Champer\Champer\Chomper_Voice\Chomper_Voice_Attack\SFX_Chomper_Voice_Attack_02		35296
	139470262	FOL_ChomperSpitter_FT_Walk_07	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\FOL_Chomper_FT_Walk_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_General\General\ChomperSpitter_FT\ChomperSpitter_FT_Walk\FOL_ChomperSpitter_FT_Walk_07		25696
	167506396	SFX_Chomper_Voice_Spotted_04	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Spotted_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_Champer\Champer\Chomper_Voice\Chomper_Voice_Spotted\SFX_Chomper_Voice_Spotted_04		45320
	168616452	SFX_Chomper_Voice_Death_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Death_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_Champer\Champer\Chomper_Voice\Chomper_Voice_Death\SFX_Chomper_Voice_Death_02		60896
	171428397	SFX_MC_Hit_04	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_MC_Hit_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Hit\SFX_MC_Hit_04		33500
	172719898	SFX_ChomperSpitter_Voice_Idle_04	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_Chomper_Voice_Idle_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_ENEMIES\ENEMIES\WU_General\General\ChomperSpitter_Voice_Idle\SFX_ChomperSpitter_Voice_Idle_04		153696
