Event	ID	Name			Wwise Object Path	Notes
	38756753	MC_Foliage			\Default Work Unit\MC\MC_Foliage	
	358198507	MC_Land_Roll			\Default Work Unit\MC\MC_Land_Roll	
	1439233273	MC_Attack_End_Combo			\Default Work Unit\MC\MC_Attack_End_Combo	
	1959425923	MC_Scuff			\Default Work Unit\MC\MC_Scuff	
	2166447543	MC_Land			\Default Work Unit\MC\MC_Land	
	2385440235	MC_Walk			\Default Work Unit\MC\MC_Walk	
	2727768564	MC_Jump			\Default Work Unit\MC\MC_Jump	
	3389321894	MC_Death			\Default Work Unit\MC\MC_Death	
	3631971675	MC_Hurt			\Default Work Unit\MC\MC_Hurt	
	4170654020	MC_Attack			\Default Work Unit\MC\MC_Attack	
	4218582063	MC_Presence			\Default Work Unit\MC\MC_Presence	

Switch Group	ID	Name			Wwise Object Path	Notes
	3861009810	FT_Type			\Default Work Unit\MC\FT_Type	

Switch	ID	Name	Switch Group			Notes
	712897245	Mud	FT_Type			
	1216965916	Stone	FT_Type			
	2195636714	Dirt	FT_Type			
	4248645337	Grass	FT_Type			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2812257	MC_FT_Grass_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_FT_Grass_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_FT\MC_FT_Grass\MC_FT_Grass_01		20088
	13749405	MC_Land_Stone_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Land_Stone_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_Land\MC_Land_Stone\MC_Land_Stone_03		31344
	16310173	MC_FT_Foliage_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_FT_Foliage_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\MC_FT_Foliage\MC_FT_Foliage_01		59936
	23018509	MC_FT_Stone_Debris_05	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_FT_Stone_Debris_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_FT_ADD\MC_FT_Stone_Debris\MC_FT_Stone_Debris_05		35296
	24974490	MC_Jump_Dirt_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Jump_Dirt_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_Jump\MC_Jump_Dirt\MC_Jump_Dirt_03		28896
	36647162	MC_Presence_Metal_Mid_Intensity_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Presence_Metal_Mid_Intensity_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Presence\MC_Presence_Metal_Mid_Intensity\MC_Presence_Metal_Mid_Intensity_02		25696
	47358212	MC_Attack_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Attack_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Attack\MC_Attack_01		57696
	52738749	MC_Presence_Latex_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Presence_Latex_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Presence\MC_Presence_Latex\MC_Presence_Latex_02		25696
	57318122	MC_FT_Mud_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_FT_Mud_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_FT\MC_FT_Mud\MC_FT_Mud_02		24752
	65334877	MC_Jump_Mud_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\MC\MC_Jump_Mud_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_FT\SWC_MC_Jump\MC_Jump_Mud\MC_Jump_Mud_01		37678
