Event	ID	Name			Wwise Object Path	Notes
	204302740	SFX_Switch_LP			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Switch_LP	
	1109021666	SFX_Door_Rock_LP			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Door_Rock_LP	
	1575639246	SFX_Weapon_Loot			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Weapon_Loot	
	3855545844	SFX_Weapon_LP			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Weapon_LP	
	4052445243	SFX_Switch_Activate			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Switch_Activate	
	4074244742	SFX_Door_Rock_Stop			\Default Work Unit\WU_SFX\WU_SFX_Level_01\SFX_Door_Rock_Stop	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	171428397	SFX_MC_Hit_04	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_MC_Hit_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Hit\SFX_MC_Hit_04		33500
	233164369	SFX_MC_Hit_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_MC_Hit_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Hit\SFX_MC_Hit_03		38880
	488803230	SFX_Weapon_Loot	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Weapon_Loot_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Weapon\SFX_Weapon_Loot		70458
	571908063	SFX_PAD_Weapon_LP	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_PAD_Weapon_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Weapon\SFX_PAD_Weapon_LP		3275068
	705945804	SFX_Switch_Activate_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Switch_Activate_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Switch\SFX_Switch_Activate\SFX_Switch_Activate_02		150912
	739504718	SFX_Switch_Activate_03	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Switch_Activate_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Switch\SFX_Switch_Activate\SFX_Switch_Activate_03		150912
	826344354	SFX_PAD_Switch_LP	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_PAD_Switch_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Switch\SFX_PAD_Switch_LP		3275068
	836433951	SFX_Door_Rock_LP	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Door_Rock_LP_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Door_Rock\SFX_Door_Rock_LP		1430496
	849601338	SFX_Door_Rock_Stop	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Door_Rock_Stop_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Door_Rock\SFX_Door_Rock_Stop		252896
	860382642	SFX_Switch_Activate_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\SFX\SFX_Switch_Activate_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_SFX\SFX\WU_SFX_Level_01\SFX_Level_01\SFX_Switch\SFX_Switch_Activate\SFX_Switch_Activate_01		150912
	933982242	SFX_MC_Hit_02	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_MC_Hit_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Hit\SFX_MC_Hit_02		38880
	963640992	SFX_MC_Hit_01	C:\Users\thesn\Documents\UnrealGames\TheExplorer3D\TheExplorer3D_WwiseProject\.cache\Windows\SFX\Chomper\SFX_MC_Hit_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_MC\MC\MC_Attack\MC_Hit\SFX_MC_Hit_01		38880

